Category,Message,Normalization
spam,J-PC:Spin & Win! 2K Bonus +3% GCASH! Visit 6868.pyc,j-pc:spin & win! 2k bonus +3% gcash! visit 6868.pyc
spam,",Enjoy online slot here at JACKPOT CITY and win m?re bursts prizes! jackpotcityph. (club)",",enjoy online slot here at jackpot city and win m?re bursts prizes! jackpotcityph. (club)"
spam,Claim the J'PC offer! Deposite & get 777 Free bonus using Gcash!Visit now 666p,claim the j'pc offer! deposite & get 777 free bonus using gcash!visit now 666p
spam,Diyos ng kayamanan ay nandito! Magdownload at manalo ng milyon https://t.hxfxph.com/zaW5o,diyos ng kayamanan ay nandito! magdownload at manalo ng milyon https://t.hxfxph.com/zaw5o
spam,"Lahat ay gumagamit ng global currency na plataporma, idownload na https://t.co/FRrSPIxHzR","lahat ay gumagamit ng global currency na plataporma, idownload na https://t.co/frrspixhzr"
spam,SOLAR 3 WAY LIGHTS SOBRA GANDA AT FORMAL ILAGAY SA WALL CLICK FOR PRICE/BUY ---> https://s.lazada.com.ph/s.4ZgRn Shop Now: (NEW ITEM 58% OFF SALE) BUY 1 TAKE 1 TODAY ONLY!!! PAKI-CLICK ANG LINK SA TAAS PARA MAKITA ANG PRESYO AT PICTURES. LED Super Bright 3 Adjustable Heads Motion Sensor Lights Waterproof and Wireless TIPID SA KURYENTE !! IWAS MAGNANAKAW AT AKYAT-BAHAY SA GABI !!,solar 3 way lights sobra ganda at formal ilagay sa wall click for price/buy ---> https://s.lazada.com.ph/s.4zgrn shop now: (new item 58% off sale) buy 1 take 1 today only!!! paki-click ang link sa taas para makita ang presyo at pictures. led super bright 3 adjustable heads motion sensor lights waterproof and wireless tipid sa kuryente !! iwas magnanakaw at akyat-bahay sa gabi !!
spam,Makakatanggap ka ng 5000 cash Pumunta lang sa website na ito bit.ly/wordpress20221 at e click ang google ads na inyong makikita sa kahit anong page ng site,makakatanggap ka ng 5000 cash pumunta lang sa website na ito bit.ly/wordpress20221 at e click ang google ads na inyong makikita sa kahit anong page ng site
spam,"Gusto mo lamang kumita ng pera, mangyaring makipag-ugnay sa akin kaagad, at gabayan ka!/WhatsApp1 +639856385288","gusto mo lamang kumita ng pera, mangyaring makipag-ugnay sa akin kaagad, at gabayan ka!/whatsapp1 +639856385288"
ham,"Magandang Araw Sean Ivan Elroy P. Pelegrina, Shopee Delivery!

Ihahatid namin ang parcel sa inyong delivery address. Bilang bahagi ng aming proseso ng pagdeliver at napapailalim sa iyong pahintulot, kami ay mangongolekta ng litrato bilang katibayan ng paghatid (Proof of Delivery). 

Pakihanda ang inyong bayad na 55 PHP para sa COD orders, maaari ninyong bayaran ito via QRPH code gamit ang iyong ShopeePay, GCash, ibang e-wallets o bank apps para sa hassle-free at cashless payment.

Pag may katanungan, pakitawagan ang numerong 02-8805200. Maraming Salamat!","magandang araw sean ivan elroy p. pelegrina, shopee delivery!

ihahatid namin ang parcel sa inyong delivery address. bilang bahagi ng aming proseso ng pagdeliver at napapailalim sa iyong pahintulot, kami ay mangongolekta ng litrato bilang katibayan ng paghatid (proof of delivery). 

pakihanda ang inyong bayad na 55 php para sa cod orders, maaari ninyong bayaran ito via qrph code gamit ang iyong shopeepay, gcash, ibang e-wallets o bank apps para sa hassle-free at cashless payment.

pag may katanungan, pakitawagan ang numerong 02-8805200. maraming salamat!"
ham,"Nak, Uwi ka na at gabi na","nak, uwi ka na at gabi na"
ham,"Huwag nang matakot maputulan ng kuryente, Suki! Pay your Meralco bills on time dahil pwedeng-pwede na ?yan using PalawanPay, with 550+ billers nationwide pa!","huwag nang matakot maputulan ng kuryente, suki! pay your meralco bills on time dahil pwedeng-pwede na ?yan using palawanpay, with 550+ billers nationwide pa!"
ham,Asan na yung bike ko pre,asan na yung bike ko pre
ham,bcph#asia   change (#) to (.)  Mag log-in lamang para ma-claim ang iyong monthly cashback kay 646!!,bcph#asia   change (#) to (.)  mag log-in lamang para ma-claim ang iyong monthly cashback kay 646!!
ham,"To Express our Greatefulness  to All Customers,Top up 1000 And Get 1000 Free in COD99 Open Google Search""COD99CO"" Link 99cod.xyz","to express our greatefulness  to all customers,top up 1000 and get 1000 free in cod99 open google search""cod99co"" link 99cod.xyz"
ham,"Good Afternoon. This Ron of Scholarship and Financial Assistance Office of LSPU -LB Please complete the requirements : 1. COG cert of grades with CTC. 2. Photocopy of School ID 3. COR Cert of Registration with CTC 4. Cert of Indigency Please comply and submit the following requirements Asap. Thank you Also, please bring ""L"" folder (short /A4 size) with your requirements","good afternoon. this ron of scholarship and financial assistance office of lspu -lb please complete the requirements : 1. cog cert of grades with ctc. 2. photocopy of school id 3. cor cert of registration with ctc 4. cert of indigency please comply and submit the following requirements asap. thank you also, please bring ""l"" folder (short /a4 size) with your requirements"
ham,PSA: Simula na ngayong Setyembre ang 2022 Census of Agriculture and Fisheries (CAF) na isinasagawa kada 10 taon. Magpabilang na! #CAFarmerCAFisherTayoAngBid,psa: simula na ngayong setyembre ang 2022 census of agriculture and fisheries (caf) na isinasagawa kada 10 taon. magpabilang na! #cafarmercafishertayoangbid
spam,05Aug 08:52: Sent PHP400.00 to 557751******7101 at +639497125644 with PHP30.00 service fee paid. Ref. No. 4df78e824551. May kailangang bilhin o bayaran online para sa bahay? Download PayMaya https://official.paymaya.com/CAK1/SmartPadala and enjoy contactless and cashless payments today!,05aug 08:52: sent php400.00 to 557751******7101 at +639497125644 with php30.00 service fee paid. ref. no. 4df78e824551. may kailangang bilhin o bayaran online para sa bahay? download paymaya https://official.paymaya.com/cak1/smartpadala and enjoy contactless and cashless payments today!
ham,"IMPORTANT ANNOUNCEMENT!
Amin pong ipinababatid na ang schedule ng Pay-out para sa existing College Scholars sa April 12 ay POSTPONED na po muna hanggang malift po ang election banned. Ito po ay madedelay lamang hanggang matapos ang eleksyon. 
Asahan po na ang release ng cash assistance ay sa 2nd week of May na po.
Antabayanan muli ang aming anunsyo. Maraming salamat po sa inyong pang unawa.","important announcement!
amin pong ipinababatid na ang schedule ng pay-out para sa existing college scholars sa april 12 ay postponed na po muna hanggang malift po ang election banned. ito po ay madedelay lamang hanggang matapos ang eleksyon. 
asahan po na ang release ng cash assistance ay sa 2nd week of may na po.
antabayanan muli ang aming anunsyo. maraming salamat po sa inyong pang unawa."
ham,"#KayaMoNow i-level up ang internet sa bahay gamit ang mabilis at maaasahan na GFiber Prepaid, now with FREE BlastTV subscription to stream movies, shows, channels, at live sports! Enjoy reloadable UNLI Fiber WiFi for as low as P299, walang lock-up, at walang documents na kailangan! Mag-apply na via the GlobeOne app at https://globeone.onelink.me/ej7I/G1SMS. Subject to serviceability checking. No advisories? Text OFF to 2686 for free.","#kayamonow i-level up ang internet sa bahay gamit ang mabilis at maaasahan na gfiber prepaid, now with free blasttv subscription to stream movies, shows, channels, at live sports! enjoy reloadable unli fiber wifi for as low as p299, walang lock-up, at walang documents na kailangan! mag-apply na via the globeone app at https://globeone.onelink.me/ej7i/g1sms. subject to serviceability checking. no advisories? text off to 2686 for free."
ham,Upgrade mo na ang iyong account para tuloy-tuloy makabili sa Maya Shop. Go to maya.ph/upgrade para makapag-upgrade ng account.,upgrade mo na ang iyong account para tuloy-tuloy makabili sa maya shop. go to maya.ph/upgrade para makapag-upgrade ng account.
ham,Expired na ba ang Globe At Home Prepaid WiFi SIM mo? Wag mag-alala dahil pwede ka nang bumili ng SIM only for just P88 na may FREE 10GB shareable data pa! Visit any Globe Stores near you or visit the Globe Online Shop via glbe.co/prepaidwifisim para bumili ng SIM. No advisories? Text OFF to 2686 for FREE.,expired na ba ang globe at home prepaid wifi sim mo? wag mag-alala dahil pwede ka nang bumili ng sim only for just p88 na may free 10gb shareable data pa! visit any globe stores near you or visit the globe online shop via glbe.co/prepaidwifisim para bumili ng sim. no advisories? text off to 2686 for free.
spam,"GANDA., Great Bonuses and promotions are here at T1BET !  
Play and spin now with 50% Casino Reload Bonus up to 1,000 !  t1betnow. c*o*m*","ganda., great bonuses and promotions are here at t1bet !  
play and spin now with 50% casino reload bonus up to 1,000 !  t1betnow. c*o*m*"
ham,"Ka-24k Rewards member, sagot namin ang 50% ng txn fees ng next Domestic Pera Padala mo kapag nagsangla ka. Valid from Mar 15 - May 31! T&C apply. Click bit.ly/CL50OFF. Per DTI Fair Trade Permit no FTEB-139042, Series of 2022.","ka-24k rewards member, sagot namin ang 50% ng txn fees ng next domestic pera padala mo kapag nagsangla ka. valid from mar 15 - may 31! t&c apply. click bit.ly/cl50off. per dti fair trade permit no fteb-139042, series of 2022."
spam,"Makiisa sa Chikiting Ligtas Campaign! Pabakunahan ang inyong anak laban Polio, Rubella at Tigdas, sa pinakamalapit na health center sa inyong lugar.","makiisa sa chikiting ligtas campaign! pabakunahan ang inyong anak laban polio, rubella at tigdas, sa pinakamalapit na health center sa inyong lugar."
ham,dito na po ako sa labas san po kayo banda sir?,dito na po ako sa labas san po kayo banda sir?
ham,oyy nandito na ako sa munisipyo,oyy nandito na ako sa munisipyo
ham,"van, ate mo to baka di ako makauwi sobra lakas ng ulan at hangin ayaw nako pauwiin ni duane. Mag sindi ka lang ng candle sa sahig ha para may ilaw kayo wag sa tabe ng kama at kurtina. Patayin mo bago kayo matulog. Lock nyo pinto at mga sliding window. Paload ka kay jem kung may maloloadan don bbayaran ko kamo, magupdate ka saken sa text","van, ate mo to baka di ako makauwi sobra lakas ng ulan at hangin ayaw nako pauwiin ni duane. mag sindi ka lang ng candle sa sahig ha para may ilaw kayo wag sa tabe ng kama at kurtina. patayin mo bago kayo matulog. lock nyo pinto at mga sliding window. paload ka kay jem kung may maloloadan don bbayaran ko kamo, magupdate ka saken sa text"
ham,san kana pre,san kana pre
ham,"Your mobile number is currently suspended, if your number still active, verify here: itsbankodeoroph.com to continue receiving OTP.ÿ","your mobile number is currently suspended, if your number still active, verify here: itsbankodeoroph.com to continue receiving otp.ÿ"
spam,", Sumali sa Aksyon! Libreng PHP788 GCash Bonus Isang Click lang ang layo sa JACKPOCITY! Mag-click dito jpcrich.com",", sumali sa aksyon! libreng php788 gcash bonus isang click lang ang layo sa jackpocity! mag-click dito jpcrich.com"
ham,pakibili ng gamot sa labas,pakibili ng gamot sa labas
spam,"Sinubukan kong tawagan ka pero hindi mo maabot. Napakahalaga ng pag-uusap natin ngayon, sumulat ako ngayon sa: gdoug0724@gmail.com","sinubukan kong tawagan ka pero hindi mo maabot. napakahalaga ng pag-uusap natin ngayon, sumulat ako ngayon sa: gdoug0724@gmail.com"
spam,", I-unlock ang mga reward sa UBET! Kumuha ng 5% USDT deposit Bonus up to P2000! Ubetwinsph0.com",", i-unlock ang mga reward sa ubet! kumuha ng 5% usdt deposit bonus up to p2000! ubetwinsph0.com"
spam,", Maglaro at manalo ng malaki gamit ang LOLLIPLAY! Makakuha ng pang-araw-araw na bonus na 10% sa iyong mga deposito. Sumali ngayon at tamasahin ang mga gantimpala! Lodibetwin4.com",", maglaro at manalo ng malaki gamit ang lolliplay! makakuha ng pang-araw-araw na bonus na 10% sa iyong mga deposito. sumali ngayon at tamasahin ang mga gantimpala! lodibetwin4.com"
spam,"Dumarating na mga bakuna: Magrehistro sa barangay. Mgpabakuna pag natawagan na. Mag ingat lagi. 
-Pres Duterte at Mayor Sara Duterte #SafePilipinas #SafeDavao","dumarating na mga bakuna: magrehistro sa barangay. mgpabakuna pag natawagan na. mag ingat lagi. 
-pres duterte at mayor sara duterte #safepilipinas #safedavao"
spam,SUMUBOK NA AKO SA IYO PLS BUMALIK KA SA AKIN DITO :teddn2434@gmail.com,sumubok na ako sa iyo pls bumalik ka sa akin dito :teddn2434@gmail.com
spam,"Dear Mr. / Ms.(certified), naghahanap kami ng team. Maaari kang magtrabaho sa bahay at kumita ng 8000 pesos sa isang araw Para tanggapin ang trabahong ito, paki-click ang https://bit.ly/3oR2nHS","dear mr. / ms.(certified), naghahanap kami ng team. maaari kang magtrabaho sa bahay at kumita ng 8000 pesos sa isang araw para tanggapin ang trabahong ito, paki-click ang https://bit.ly/3or2nhs"
spam,"kends246@gmail.com, I-message ang aking email para sa isang pag-uusap, mangyaring","kends246@gmail.com, i-message ang aking email para sa isang pag-uusap, mangyaring"
spam,Good day mr or mrs. your attention is needed asap contact d email:em656168@gmail.com,good day mr or mrs. your attention is needed asap contact d email:em656168@gmail.com
spam,hello senior citizen i-chat ako sa aking email ( graceocampo727@gmail.com ) ngayon,hello senior citizen i-chat ako sa aking email ( graceocampo727@gmail.com ) ngayon
spam,"Para sa limitado lamang  mkha ng P5,000 bonus Magister n po kyo https://cutt.ly/jLFRqwY 100 GET 100, 1000 GET 1000, 2000 GET 2000, 24/7 Immediate Cash In/Out","para sa limitado lamang  mkha ng p5,000 bonus magister n po kyo https://cutt.ly/jlfrqwy 100 get 100, 1000 get 1000, 2000 get 2000, 24/7 immediate cash in/out"
spam,".,mybitglobal inaantay ang  10 mo! Magbukas at kunin http://gcxvd2ny.com",".,mybitglobal inaantay ang  10 mo! magbukas at kunin http://gcxvd2ny.com"
spam,".,Para sa iyong kinabukasan, bilisan idownload at gamitin ang mybitglobal, magbukas ng account at may  10 http://nuob0p7g.com",".,para sa iyong kinabukasan, bilisan idownload at gamitin ang mybitglobal, magbukas ng account at may  10 http://nuob0p7g.com"
spam,"Lumapit dito saakin, magrehistro at may 600p, ienjoy ang hindi tumitigil sa kita http://kodqny.com","lumapit dito saakin, magrehistro at may 600p, ienjoy ang hindi tumitigil sa kita http://kodqny.com"
spam,Login at  http://fdsv02.social  at mag cash-in to get your rewards!!,login at  http://fdsv02.social  at mag cash-in to get your rewards!!
spam,W+ Hot Spin Game Kunin ang IPHONE PRO MAX 14 KIRK O.! Mag-sign up para sa W+ at makakuha ng 5499 sa ilang segundo! win7loveplus.com/LOVE14WIN,w+ hot spin game kunin ang iphone pro max 14 kirk o.! mag-sign up para sa w+ at makakuha ng 5499 sa ilang segundo! win7loveplus.com/love14win
spam,"Hindi ka yumaman sa pagtatrabaho lang,subukan ang online trading, libreng taga pagturo!/WhatsApp1 +639817102186 WhatsApp2 +639851908576","hindi ka yumaman sa pagtatrabaho lang,subukan ang online trading, libreng taga pagturo!/whatsapp1 +639817102186 whatsapp2 +639851908576"
spam,"fdsv01#info 
Baguhin ang (#) sa (.) Good News Ka-Lodi291! Marami promo ang pwede gamitin!","fdsv01#info 
baguhin ang (#) sa (.) good news ka-lodi291! marami promo ang pwede gamitin!"
spam,"Gumagamit ka ba ng Facebook, Tiktok or Messenger ?
Alam mo bang pwede ka kumita ng pera gamit ang Social Media ? Click mo po eto --> m.me/onlinescheduler2.0 then FOLLOW instruction Kailangan mo lang umattend sa orientation kung paano ginagawa ang extra income Madami na guminhawa at nabago ang buhay","gumagamit ka ba ng facebook, tiktok or messenger ?
alam mo bang pwede ka kumita ng pera gamit ang social media ? click mo po eto --> m.me/onlinescheduler2.0 then follow instruction kailangan mo lang umattend sa orientation kung paano ginagawa ang extra income madami na guminhawa at nabago ang buhay"
spam,kag msy mga sulat ta ipa brgy si songo blotter lng bah psra kono may recod ta kay iya gina gamo sila toto,kag msy mga sulat ta ipa brgy si songo blotter lng bah psra kono may recod ta kay iya gina gamo sila toto
